id,day_of_week_x,index_x,available_x,max_nights_x,min_nights_x,available_for_checkin_x,available_for_checkout_x,bookable_x,day_of_week_y,index_y,available_y,max_nights_y,min_nights_y,available_for_checkin_y,available_for_checkout_y,bookable_y,available_delta_pct,available_for_checkin_delta_pct,available_for_checkout_delta_pct,bookable_delta_pct,zipcode,City,Metro,CountyName,State
11384046,5,39.07894737,0,1125,3,0,0,0,5,18.07894737,0.118421053,1125,3,0,0.118421053,0.118421053,11.84210526,0,11.84210526,11.84210526,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,5,39.07894737,0,1125,3,0,0,0,6,19.07894737,0.118421053,1125,3,0,0.118421053,0.118421053,11.84210526,0,11.84210526,11.84210526,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,6,40.07894737,0.25,1125,3,0,0,0,0,20.07894737,0.25,1125,3,0.25,0.118421053,0.25,0,25,11.84210526,25,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,6,40.07894737,0.25,1125,3,0,0,0,1,21.07894737,0.25,1125,3,0,0.25,0.25,0,0,25,25,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,6,40.07894737,0.25,1125,3,0,0,0,2,22.07894737,0.25,1125,3,0,0.25,0.25,0,0,25,25,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,6,40.07894737,0.25,1125,3,0,0,0,3,23.07894737,0.157894737,1125,3,0,0.25,0,-9.210526316,0,25,0,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,6,40.07894737,0.25,1125,3,0,0,0,4,17.07894737,0.289473684,1125,3,0.118421053,0,0.118421053,3.947368421,11.84210526,0,11.84210526,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,6,40.07894737,0.25,1125,3,0,0,0,5,18.07894737,0.118421053,1125,3,0,0.118421053,0.118421053,-13.15789474,0,11.84210526,11.84210526,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11384046,6,40.07894737,0.25,1125,3,0,0,0,6,19.07894737,0.118421053,1125,3,0,0.118421053,0.118421053,-13.15789474,0,11.84210526,11.84210526,4064,Old Orchard Beach,Portland-South Portland,York County,ME
11886168,0,41.07894737,0.25,1125,1.210526316,0.25,0.25,0.25,0,20.07894737,0.210526316,1125,1.210526316,0.171052632,0.052631579,0.197368421,-3.947368421,-7.894736842,-19.73684211,-5.263157895,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,0,41.07894737,0.25,1125,1.210526316,0.25,0.25,0.25,1,21.07894737,0.157894737,1125,1.210526316,0.157894737,0.197368421,0.157894737,-9.210526316,-9.210526316,-5.263157895,-9.210526316,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
