,index,id,name,price,displayPrice,monthlyPriceFactor,weeklyPriceFactor,avgRating,reviewsCount,isNewListing,isSuperhost,lat,lng,personCapacity,size,beds,baths,title,property_type,town,top_lat,right_long,bottom_lat,left_long,url,baths_type,Region,baths_no,beds_no,guest_no,zipcode
10,10,41954201.0,"Hurricane's Haunt, 4BR/3BA Canal View Beach House",100.0,$100,1.0,0.71,,0.0,0.0,0.0,33.46632,-79.10021,8.0,4 bedrooms,5 beds,1 bath,8 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Carolinas,1,5,8.0,29585
11,11,6.238779743214623e+17,Creek side oasis - 2 mi. from beach! 6 bed/3.5bath,950.0,$950,1.0,1.0,,0.0,1.0,0.0,33.47048,-79.14011,13.0,6 bedrooms,6 beds,3.5 baths,13 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Carolinas,3.5,6,13.0,29585
12,12,53021719.0,Spacious Canal Front South Litchfield Beach House,600.0,$600,1.0,0.9,,1.0,0.0,0.0,33.46811,-79.09752,16.0,6 bedrooms,10 beds,5 baths,16 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Carolinas,5,10,16.0,29585
13,13,23525446.0,Pawleys Island- Beautiful True Blue Golf Condo,175.0,$175,0.8,0.9,4.82,50.0,0.0,1.0,33.43963,-79.14686,6.0,3 bedrooms,4 beds,2 baths,6 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Carolinas,2,4,6.0,29585
14,14,5.746353366707614e+17,"All-Suite condo with covered patio pool, and tennis in a gated community",202.0,$202,1.0,1.0,,0.0,0.0,0.0,33.42132,-79.14443,6.0,2 bedrooms,3 beds,2 baths,6 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Carolinas,2,3,6.0,29585
15,15,5.664550280748523e+17,Cozy 1  bedroom fifth wheel RV close to beaches,79.0,$79,0.8,0.85,,2.0,0.0,0.0,33.43232,-79.17396,4.0,1 bedroom,2 beds,1 bath,4 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Carolinas,1,2,4.0,29585
16,16,49638128.0,"""Not Too Shabby"" - PERFECT location!",615.0,$615,0.8,1.0,5.0,21.0,0.0,1.0,33.43135,-79.13085,10.0,4 bedrooms,7 beds,3 baths,10 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Carolinas,3,7,10.0,29585
17,17,53089887.0,Once In A True Blue II,153.0,$153,0.85,0.9,5.0,6.0,0.0,1.0,33.45027,-79.14641,8.0,3 bedrooms,5 beds,3 baths,8 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Carolinas,3,5,8.0,29585
18,18,34889682.0,Pawleys Creekside Cottage,282.0,$282,1.0,1.0,4.95,78.0,0.0,1.0,33.43754,-79.12663,7.0,3 bedrooms,4 beds,2 baths,7 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Carolinas,2,4,7.0,29585
19,19,33927315.0,Enjoy Fairwinds and Fairways at True Blue,194.0,$194,1.0,0.72,4.77,13.0,0.0,0.0,33.43947,-79.14407,4.0,2 bedrooms,3 beds,2 baths,4 guests,entire_home,pawleys island,33.5208721625,-79.09717229375,33.4213399,-79.2902133,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.5208721625&ne_lng=-79.09717229375&sw_lat=33.4213399&sw_lng=-79.2902133&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Carolinas,2,3,4.0,29585
