,zipcode,id,day_of_week_x,index_x,cleaning_fee_x,service_fee_x,total_price_x,day_of_week_y,index_y,cleaning_fee_y,service_fee_y,total_price_y,cleaning_fee_delta,service_fee_delta,total_price_delta,cleaning_fee_delta_pct,service_fee_delta_pct,total_price_delta_pct,display_price_delta_pct
0,3251,30987364.0,3.0,0.0,85.0,51.6378648033902,280.37864803390204,3.0,0.0,85.0,51.366884196980365,277.6688419698036,0.0,-0.27098060640983895,-2.7098060640983834,0.0,-0.5247165501574769,-0.9662966116395183,-0.44158006148204154
1,3574,44275279.0,3.0,0.0,50.0,29.319893614147848,184.74413806023972,3.0,0.0,50.0,30.928694588647872,196.23557359238274,0.0,1.6088009745000247,11.49143553214304,0.0,4.573854039135464,4.5752188171448465,0.002729556018761146
2,3809,53340685.0,3.0,0.0,145.0,46.927267954059296,185.2093176849366,3.0,0.0,145.0,51.287969120283705,216.56900570771387,0.0,4.36070116622441,31.359688022777306,0.0,9.726159313048422,18.40518573294011,8.679026419891688
3,4015,3.630099035712997e+17,3.0,0.0,100.0,33.46079166606435,135.5481349166195,3.0,0.0,100.0,34.19376552086457,140.43462728195425,0.0,0.7329738548002158,4.886492365334769,0.0,2.0068262239377423,3.2201413883312755,1.2133151643935327
4,4039,2.7456243423971933e+17,3.0,0.0,100.0,51.0,262.5,3.0,0.0,100.0,50.957984189658276,262.2104234420572,0.0,-0.042015810341721097,-0.2895765579427539,0.0,-0.09133871813417631,-0.12870069241900173,-0.037361974284825406
5,4043,12197831.0,3.0,0.0,30.172597768360554,15.121517189605918,75.52026342451875,3.0,0.0,31.34249777912852,15.819341847168282,79.05162916068846,1.1699000107679676,0.6978246575623651,3.531365736169716,3.8786485687856116,4.625545289535727,4.688345372614419,-3.815848485706919
6,4055,3.031532044114306e+17,3.0,0.0,172.0,55.43204186597714,220.3184098992899,3.0,0.0,172.0,55.33922689186586,219.36881050202746,0.0,-0.09281497411127607,-0.9495993972624207,0.0,0.06246018379640326,-0.34017699948043256,-0.4026371832768358
7,4062,13962444.0,3.0,0.0,75.0,51.67361034598336,292.8240689732224,3.0,0.0,75.0,50.823536097091704,287.1569073139447,0.0,-0.8500742488916505,-5.667161659277675,0.0,-1.592140356565899,-1.8625466865009643,-0.2704063299350653
8,4064,6.857216911512079e+16,3.0,0.0,114.35483870967742,49.96136205123358,271.3662923477845,3.0,0.0,114.33870494783231,52.31525850657066,288.3540181109023,-0.016133761845110606,2.353896455337072,16.987725763117787,0.039743849578168323,5.071019737714729,8.290903477924553,4.394315379464067
9,4071,1.9710444823042218e+17,3.0,0.0,156.66666666666666,75.85967975796785,380.87743806374283,3.0,0.0,156.66666666666666,75.17904570302561,375.72440011794475,0.0,-0.6806340549422483,-5.153037945798066,0.0,-0.6502940433184297,-0.9488207457614412,-0.29852670244301155
10,4072,12486642.0,3.0,0.0,120.0,54.38069498069498,267.1092664092664,3.0,0.0,120.0,54.832720509767846,270.0306028288047,0.0,0.45202552907287086,2.9213364195383145,0.0,0.8533118266272941,1.1253155839026925,0.2720037572753984
11,4084,53828526.0,3.0,0.0,128.0,56.32761564293769,272.10234124268106,3.0,0.0,128.0,56.528291746739534,273.1499561950194,0.0,0.20067610380184572,1.047614952338287,0.0,0.3562750731151383,0.38503925616640805,0.028764183051269734
