,Unnamed: 0,id,index_x,cleaning_fee_x,service_fee_x,total_price_x,index_y,cleaning_fee_y,service_fee_y,total_price_y,cleaning_fee_delta,service_fee_delta,total_price_delta,cleaning_fee_delta_pct,service_fee_delta_pct,total_price_delta_pct,display_price_delta_pct
0,0,10121456.0,0.0,488.0,442.7174193548387,2648.7432258064514,0.0,488.0,374.7582547169811,2167.115566037736,0.0,-67.95916463785755,-481.6276597687156,0.0,-15.350460963766185,-18.183252158090053,-2.8327911943238675
1,1,10123207.0,0.0,,73.86879432624113,523.2765957446809,0.0,,61.19047619047619,434.6709956709957,,-12.67831813576494,-88.6056000736852,,-17.16329371746778,-16.932842170705065,
2,2,10142320.0,0.0,100.0,68.23788546255507,381.5859030837004,0.0,100.0,65.31638418079096,362.1092278719397,0.0,-2.921501281764108,-19.476675211760664,0.0,-4.281347908072643,-5.10413908227854,-0.8227911742058973
3,3,10162954.0,0.0,250.0,171.42779291553134,962.9373297002724,0.0,250.0,202.80665024630545,1185.9458128078818,0.0,31.37885733077411,223.00848310760944,0.0,18.304416569275674,23.159189723906948,4.854773154631275
4,4,10192685.0,0.0,215.0,273.1548463356974,1719.822695035461,0.0,215.0,243.78981581798485,1510.996749729144,0.0,-29.36503051771257,-208.82594530631695,0.0,-10.750323822416831,-12.14229501152217,-1.3919711891053392
5,5,10248888.0,0.0,135.0,72.0,375.0,0.0,135.0,73.25,383.9285714285714,0.0,1.25,8.928571428571388,0.0,1.7361111111111112,2.3809523809523703,0.6448412698412591
6,6,10250283.0,0.0,170.0,64.31205673758865,282.3404255319149,0.0,170.0,67.0,302.5,0.0,2.687943262411352,20.15957446808511,0.0,4.179532421702699,7.140165787490583,2.960633365787884
7,7,1027096.0,0.0,350.0,104.0,387.0,0.0,350.0,104.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,1028161.0,0.0,,24.07522123893805,170.84070796460176,0.0,,24.4180790960452,173.34086629001882,,0.3428578571071519,2.500158325417061,,1.4241109300903574,1.4634441376437604,
9,9,10304764.0,0.0,63.0,0.0,91.45640326975476,0.0,63.0,0.0,93.77216748768473,0.0,0.0,2.315764217929967,0.0,,2.5320963159895067,
10,10,1032722.0,0.0,,22.05726872246696,156.9295154185022,0.0,,22.145009416195855,157.58757062146893,,0.08774069372889315,0.6580552029667217,,0.39778584934009875,0.4193316988278523,
11,11,10338405.0,0.0,225.0,78.21806167400881,327.56607929515417,0.0,225.0,93.26691729323308,436.8233082706767,0.0,15.04885561922427,109.25722897552254,0.0,19.239617164055698,33.35425609715713,14.114638933101435
12,12,10354190.0,0.0,75.0,31.16740088105727,148.66960352422907,0.0,75.0,32.285714285714285,152.67857142857142,0.0,1.118313404657016,4.008967904342342,0.0,3.5880868248359383,2.6965619126635993,-0.891524912172339
13,13,10360092.0,0.0,50.0,20.52863436123348,97.6431718061674,0.0,50.0,20.571428571428573,97.85714285714286,0.0,0.042794210195093996,0.21397105097545932,0.0,0.2084610668301789,0.21913570300667387,0.010674636176494973
