,id,index_x,available_x,max_nights_x,min_nights_x,available_for_checkin_x,available_for_checkout_x,bookable_x,index_y,available_y,max_nights_y,min_nights_y,available_for_checkin_y,available_for_checkout_y,bookable_y
0,10121456.0,50.08064516129032,0.5,1125.0,3.0864055299539173,0.35714285714285715,0.5357142857142857,0.5,31.080645161290324,0.5092165898617511,1125.0,3.044930875576037,0.38940092165898615,0.5092165898617511,0.5092165898617511
1,10123207.0,50.08064516129032,0.9711981566820277,365.0,1.0,0.9711981566820277,0.967741935483871,0.9711981566820277,31.080645161290324,0.6532258064516129,365.0,1.0,0.6532258064516129,0.631336405529954,0.6532258064516129
2,10142320.0,39.078947368421055,0.39285714285714285,4.0,2.0,0.2857142857142857,0.42857142857142855,0.39285714285714285,20.07894736842105,0.5827067669172933,4.0,2.0,0.5319548872180451,0.5545112781954887,0.5808270676691729
3,10162954.0,50.08064516129032,0.8928571428571429,1125.0,1.5714285714285714,0.8928571428571429,0.8928571428571429,0.8928571428571429,31.080645161290324,0.6532258064516129,1125.0,1.6221198156682028,0.6532258064516129,0.6267281105990783,0.6532258064516129
4,10192685.0,50.08064516129032,1.0,1125.0,3.903225806451613,1.0,1.0,1.0,31.080645161290324,0.8905529953917051,1125.0,3.5368663594470044,0.8870967741935484,0.8755760368663594,0.8905529953917051
5,10248888.0,39.078947368421055,0.8214285714285714,28.0,2.0,0.75,0.8571428571428571,0.8214285714285714,20.07894736842105,0.8533834586466166,28.0,2.0,0.8176691729323309,0.8289473684210527,0.8533834586466166
6,10250283.0,50.08064516129032,0.8214285714285714,401.25,29.0,0.8214285714285714,0.7857142857142857,0.8214285714285714,31.080645161290324,0.14285714285714285,1056.0714285714287,29.0,0.14285714285714285,0.10714285714285714,0.14285714285714285
7,1027096.0,50.08064516129032,0.23387096774193547,1125.0,6.0,0.18778801843317972,0.19815668202764977,0.23387096774193547,31.080645161290324,0.16244239631336405,1125.0,6.0,0.024193548387096774,0.14516129032258066,0.14516129032258066
8,1028161.0,39.078947368421055,0.35714285714285715,90.0,1.2857142857142858,0.35714285714285715,0.32142857142857145,0.35714285714285715,20.07894736842105,0.2932330827067669,90.0,1.2857142857142858,0.2669172932330827,0.2669172932330827,0.29135338345864664
9,10304764.0,50.08064516129032,0.10714285714285714,1125.0,1.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,31.080645161290324,0.1313364055299539,1125.0,1.0,0.1313364055299539,0.1313364055299539,0.1313364055299539
10,1032722.0,39.078947368421055,0.4116541353383459,10.0,2.0,0.2781954887218045,0.4116541353383459,0.4116541353383459,20.07894736842105,0.4548872180451128,10.0,2.0,0.3233082706766917,0.42105263157894735,0.45112781954887216
11,10338405.0,39.078947368421055,0.2857142857142857,537.7725563909775,5.545112781954887,0.11090225563909774,0.25,0.25,20.07894736842105,0.25,850.9154135338346,2.723684210526316,0.11090225563909774,0.21428571428571427,0.25
12,10354190.0,39.078947368421055,0.32142857142857145,1125.0,2.0,0.16917293233082706,0.2650375939849624,0.26127819548872183,20.07894736842105,0.41729323308270677,1125.0,2.0,0.2725563909774436,0.37030075187969924,0.36654135338345867
13,10360092.0,39.078947368421055,0.3308270676691729,1125.0,2.0,0.2236842105263158,0.29887218045112784,0.2951127819548872,20.07894736842105,0.44548872180451127,1125.0,2.0,0.37781954887218044,0.3966165413533835,0.4323308270676692
14,10400521.0,50.08064516129032,0.9988479262672811,1125.0,1.0,0.9988479262672811,0.9965437788018433,0.9988479262672811,31.080645161290324,0.7661290322580645,1125.0,1.0,0.7661290322580645,0.7488479262672811,0.7661290322580645
15,10403955.0,39.078947368421055,0.0,1125.0,2.0,0.0,0.0,0.0,20.07894736842105,0.0,1125.0,2.0,0.0,0.0,0.0
16,1049133.0,39.078947368421055,0.5,1125.0,2.0,0.39285714285714285,0.5,0.5,20.07894736842105,0.4793233082706767,1125.0,2.0,0.38533834586466165,0.44360902255639095,0.4793233082706767
17,10495287.0,39.078947368421055,0.8928571428571429,1125.0,2.0,0.8571428571428571,0.8928571428571429,0.8928571428571429,20.07894736842105,0.6954887218045113,1125.0,2.0,0.6597744360902256,0.6672932330827067,0.6954887218045113
18,10513550.0,50.08064516129032,0.25460829493087556,1125.0,4.0,0.1578341013824885,0.2626728110599078,0.25460829493087556,31.080645161290324,0.37557603686635943,1125.0,4.0,0.2269585253456221,0.3387096774193548,0.3513824884792627
19,10571555.0,50.08064516129032,0.9723502304147466,365.0,2.0,0.9723502304147466,0.9723502304147466,0.9723502304147466,31.080645161290324,0.6751152073732719,365.0,2.0,0.6105990783410138,0.6394009216589862,0.6543778801843319
20,10572378.0,39.078947368421055,0.0,1125.0,2.0,0.0,0.0,0.0,20.07894736842105,0.0,1125.0,2.0,0.0,0.0,0.0
21,10573064.0,39.078947368421055,0.0,1125.0,2.0,0.0,0.0,0.0,20.07894736842105,0.0,1125.0,2.0,0.0,0.0,0.0
22,1059341.0,39.078947368421055,0.10714285714285714,1125.0,3.0,0.0,0.07142857142857142,0.03571428571428571,20.07894736842105,0.287593984962406,1125.0,3.0,0.13345864661654136,0.287593984962406,0.2781954887218045
23,10719412.0,39.078947368421055,1.0,1125.0,3.0,1.0,1.0,1.0,20.07894736842105,0.8533834586466166,1125.0,3.0,0.8533834586466166,0.8289473684210527,0.8533834586466166
24,10837466.0,39.078947368421055,0.25,1125.0,5.571428571428571,0.10714285714285714,0.2857142857142857,0.25,20.07894736842105,0.5676691729323309,1125.0,3.0,0.39473684210526316,0.5263157894736842,0.5620300751879699
