,Unnamed: 0.1,Unnamed: 0,index,id,name,price,displayPrice,monthlyPriceFactor,weeklyPriceFactor,avgRating,reviewsCount,isNewListing,isSuperhost,lat,lng,personCapacity,size,beds,baths,title,property_type,town,top_lat,right_long,bottom_lat,left_long,url,baths_type,Region,baths_no,beds_no,guest_no,state,state_name,state_id,avg_home_value,occupancy_rate,median_cleaning_fee,median_service_fee,median_total_price,avg_30_yr_mort,median_ROI,zipcode
242,242,5,5,21893890.0,Amazing  & Long Term Stay  Miami Beach Studio,55.0,$55,0.95,1.0,,0.0,0.0,0.0,25.77694,-80.13837,2.0,Studio,4 beds,1 bath,2 guests,entire_home,miami beach,25.77831903125,-80.13503453125,25.7745064375,-80.13958975,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.77831903125&ne_lng=-80.13503453125&sw_lat=25.774506437499998&sw_lng=-80.13958975&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=60&section_offset=1,Private,Miami,1.0,4.0,2.0,Florida,Florida,FL,2447709.0,0.1992929739284136,100.0,22.0,177.0,13139.83,-0.91834418341888,33139
243,243,14,14,26631720.0,30% OFF❤ Luxury Townhouse w/Rooftop BBQ & Hot Tub,1475.0,"$1,475",0.8,0.97,4.87,71.0,0.0,0.0,25.77646,-80.13824,8.0,3 bedrooms,5 beds,3 baths,8 guests,private_room,miami beach,25.77831903125,-80.13503453125,25.7745064375,-80.13958975,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.77831903125&ne_lng=-80.13503453125&sw_lat=25.774506437499998&sw_lng=-80.13958975&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=60&section_offset=1,Private,Miami,3.0,5.0,8.0,Florida,Florida,FL,5005811.0,0.3027904616945713,320.0,208.0,2003.0,26872.28,-0.313516280864542,33139
244,244,16,16,45434549.0,Miami Beach stylish Studio,1700.0,"$1,700",1.0,1.0,,0.0,0.0,0.0,25.77657,-80.13639,2.0,Studio,,1 bath,2 guests,entire_home,miami beach,25.77831903125,-80.13503453125,25.7745064375,-80.13958975,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.77831903125&ne_lng=-80.13503453125&sw_lat=25.774506437499998&sw_lng=-80.13958975&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=60&section_offset=1,Private,Miami,1.0,,2.0,Florida,Florida,FL,,0.9605832965090588,,240.0,,,,33139
245,245,6,6,45054625.0,Collins Ave. - Touchless Petite King Room - South Beach,105.0,$105,0.9,0.95,4.44,48.0,0.0,0.0,25.77884,-80.13319,2.0,Studio,1 bed,1 bath,2 guests,entire_home,miami beach,25.780225328125,-80.132756921875,25.77831903125,-80.13503453125,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.780225328125&ne_lng=-80.132756921875&sw_lat=25.77831903125&sw_lng=-80.13503453125&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=0&section_offset=1,Private,Miami,1.0,1.0,2.0,Florida,Florida,FL,315148.0,0.9534246575342464,80.0,35.0,220.0,1691.78,2.771175921219071,33139
246,246,17,17,31294674.0,South Beach: 5 min walk to the beach & Ocean Drive,125.0,$125,0.7,1.0,4.67,7.0,0.0,0.0,25.78065,-80.13327,3.0,Studio,2 beds,1 bath,3 guests,entire_home,miami beach,25.782131625,-80.132756921875,25.780225328125,-80.13503453125,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.782131624999998&ne_lng=-80.132756921875&sw_lat=25.780225328125&sw_lng=-80.13503453125&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=0&section_offset=1,Private,Miami,1.0,2.0,3.0,Florida,Florida,FL,600776.0,0.9605832965090588,80.0,29.0,234.0,3225.1,1.119919262318448,33139
247,247,5,5,32044795.0,🏝 Large & Cosy Loft @ the ❤️ of South Beach!,160.0,$160,0.9,1.0,4.72,105.0,0.0,0.0,25.78625,-80.13158,3.0,Studio,1 bed,1 bath,3 guests,entire_home,miami beach,25.7897568125,-80.1304793125,25.78594421875,-80.13503453125,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.7897568125&ne_lng=-80.1304793125&sw_lat=25.785944218749997&sw_lng=-80.13503453125&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=40&section_offset=1,Private,Miami,1.0,1.0,3.0,Florida,Florida,FL,315148.0,0.3576668139637649,100.0,32.0,292.0,1691.78,0.8777130710581982,33139
248,248,13,13,30113457.0,Miami Cosi,168.0,$168,1.0,1.0,4.52,92.0,0.0,0.0,25.78786,-80.13218,4.0,1 bedroom,3 beds,1 bath,4 guests,entire_home,miami beach,25.7897568125,-80.1304793125,25.78594421875,-80.13503453125,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.7897568125&ne_lng=-80.1304793125&sw_lat=25.785944218749997&sw_lng=-80.13503453125&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=40&section_offset=1,Private,Miami,1.0,3.0,4.0,Florida,Florida,FL,1823034.0,0.3948740609809987,120.0,48.0,336.0,9786.44,-0.587632182568349,33139
249,249,14,14,31304301.0,1 Bed/1Bath. South Beach. Great Location.,149.0,$149,1.0,1.0,4.82,79.0,0.0,0.0,25.78768,-80.1326,3.0,1 bedroom,2 beds,1 bath,3 guests,entire_home,miami beach,25.7897568125,-80.1304793125,25.78594421875,-80.13503453125,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.7897568125&ne_lng=-80.1304793125&sw_lat=25.785944218749997&sw_lng=-80.13503453125&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=40&section_offset=1,Private,Miami,1.0,2.0,3.0,Florida,Florida,FL,600776.0,0.1406981882456915,100.0,34.0,283.0,3225.1,-0.6244710925025914,33139
250,250,15,15,37054390.0,Super 💙 Amazing Deal Direct 🏖️ Ocean Dr Sleeps5,185.0,$185,1.0,1.0,4.59,152.0,0.0,0.0,25.78764,-80.13068,5.0,Studio,3 beds,1 bath,5 guests,entire_home,miami beach,25.7897568125,-80.1304793125,25.78594421875,-80.13503453125,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.7897568125&ne_lng=-80.1304793125&sw_lat=25.785944218749997&sw_lng=-80.13503453125&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=40&section_offset=1,Private,Miami,1.0,3.0,5.0,Florida,Florida,FL,1823034.0,0.7207247017233761,69.0,49.0,303.0,9786.44,-0.321267076459053,33139
251,251,5,5,49924715.0,Beach apartment 2 blocks from mall & restaurants!,350.0,$350,1.0,1.0,4.77,13.0,0.0,0.0,25.78999,-80.13541,4.0,2 bedrooms,5 beds,1 bath,4 guests,entire_home,miami beach,25.797382,-80.1304793125,25.7897568125,-80.13958975,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.797382&ne_lng=-80.1304793125&sw_lat=25.7897568125&sw_lng=-80.13958975&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=80&section_offset=1,Private,Miami,1.0,5.0,4.0,Florida,Florida,FL,5005811.0,0.608572691117985,150.0,64.0,564.0,26872.28,-0.6114931626148198,33139
252,252,8,8,45564949.0,"In The Heart of South Beach! Garden, Picnic Area, Right On Washington Avenue!",325.0,$325,1.0,1.0,,1.0,0.0,0.0,25.79709,-80.13281,3.0,1 bedroom,1 bed,1 bath,3 guests,entire_home,miami beach,25.797382,-80.1304793125,25.7897568125,-80.13958975,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.797382&ne_lng=-80.1304793125&sw_lat=25.7897568125&sw_lng=-80.13958975&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=80&section_offset=1,Private,Miami,1.0,1.0,3.0,Florida,Florida,FL,315148.0,0.8258064516129032,,39.0,,1691.78,,33169
253,253,13,13,44701853.0,"Your Exciting Miami Beach Vacation Starts Here! Garden, Picnic Area, Near Bass Museum of Art!",325.0,$325,1.0,1.0,,0.0,0.0,0.0,25.79738,-80.13285,3.0,1 bedroom,1 bed,1 bath,3 guests,entire_home,miami beach,25.797382,-80.1304793125,25.7897568125,-80.13958975,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.797382&ne_lng=-80.1304793125&sw_lat=25.7897568125&sw_lng=-80.13958975&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=80&section_offset=1,Private,Miami,1.0,1.0,3.0,Florida,Florida,FL,315148.0,0.8258064516129032,,39.0,,1691.78,,33139
254,254,17,17,42778398.0,Awesome House With Jacuzzi in the Heart of Miami,169.0,$169,0.85,0.95,4.98,46.0,0.0,1.0,25.78767,-80.25557,6.0,2 bedrooms,2 beds,1 bath,6 guests,entire_home,miami,25.797382,-80.24891500000001,25.76688125,-80.28535675,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.797382&ne_lng=-80.24891500000001&sw_lat=25.766881249999997&sw_lng=-80.28535675&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=140&section_offset=1,Private,Miami,1.0,2.0,6.0,Florida,Florida,FL,425586.0,0.4486080424215642,225.0,57.0,451.0,2284.64,1.6936268917358903,33125
255,255,16,16,39940481.0,Beautiful family home!!,499.0,$499,1.0,0.9,4.71,69.0,0.0,0.0,25.74418,-80.38362,5.0,3 bedrooms,4 beds,3 baths,5 guests,entire_home,miami,25.797382,-80.3217985,25.7363805,-80.394682,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.797382&ne_lng=-80.3217985&sw_lat=25.7363805&sw_lng=-80.394682&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Miami,3.0,4.0,5.0,Florida,Florida,FL,685872.0,0.9448519664162616,200.0,99.0,798.0,3681.91,5.228810414931031,33175
256,256,18,18,23069234.0,Beautiful house in the best central area of Miami!,315.0,$315,0.9,0.95,4.81,42.0,0.0,1.0,25.74476,-80.33487,7.0,3 bedrooms,6 beds,2 baths,7 guests,entire_home,miami,25.797382,-80.3217985,25.7363805,-80.394682,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.797382&ne_lng=-80.3217985&sw_lat=25.7363805&sw_lng=-80.394682&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=100&section_offset=1,Private,Miami,2.0,6.0,7.0,Florida,Florida,FL,1418968.8,0.9335395492708792,150.0,66.0,531.0,7617.33,0.9794115057587488,33155
257,257,8,8,38068245.0,Beautifully Decorated Wynwood Apartment,132.0,$132,1.0,1.0,4.72,57.0,0.0,0.0,25.80954,-80.20387,5.0,2 bedrooms,4 beds,1 bath,5 guests,entire_home,miami,25.812632375,-80.19425237500002,25.797382,-80.21247325000002,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.812632375&ne_lng=-80.19425237500002&sw_lat=25.797382&sw_lng=-80.21247325000002&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=200&section_offset=1,Private,Miami,1.0,4.0,5.0,Florida,Florida,FL,685872.0,0.4173221387538665,100.0,34.0,266.0,3681.91,-0.0829531762135027,33127
258,258,11,11,41103264.0,Sextant | Wynwood Penthouse | 3000SF Private Rooftop | 10 mins to South Beach,682.0,$682,1.0,1.0,4.9,68.0,0.0,0.0,25.79967,-80.19927,8.0,3 bedrooms,4 beds,3.5 baths,8 guests,entire_home,miami,25.812632375,-80.19425237500002,25.797382,-80.21247325000002,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.812632375&ne_lng=-80.19425237500002&sw_lat=25.797382&sw_lng=-80.21247325000002&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=200&section_offset=1,Private,Miami,3.5,4.0,8.0,Florida,Florida,FL,685872.0,0.871586389748122,290.0,0.0,972.0,3681.91,5.99866417508935,33150
259,259,15,15,48990447.0,Luxury NEW Condo in Miami Midtown/Design District,346.0,$346,0.85,0.93,4.86,28.0,0.0,0.0,25.81387,-80.18841,6.0,2 bedrooms,4 beds,2 baths,6 guests,entire_home,miami,25.82788275,-80.17603150000001,25.812632375,-80.19425237500002,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=25.82788275&ne_lng=-80.17603150000001&sw_lat=25.812632375&sw_lng=-80.19425237500002&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=140&section_offset=1,Private,Miami,2.0,4.0,6.0,Florida,Florida,FL,685872.0,0.8877596111356606,130.0,88.0,564.0,3681.91,3.1363086357440184,33137
