,zipcode,id,day_of_week_x,index_x,available_x,max_nights_x,min_nights_x,available_for_checkin_x,available_for_checkout_x,bookable_x,day_of_week_y,index_y,available_y,max_nights_y,min_nights_y,available_for_checkin_y,available_for_checkout_y,bookable_y,available_delta_pct,available_for_checkin_delta_pct,available_for_checkout_delta_pct,bookable_delta_pct
0,3251,30987364.0,3.0,31.040462427745666,0.8315441783649875,21.569777043765484,2.0,0.8117258464079272,0.819983484723369,0.8315441783649875,3.0,18.795017482517483,0.5629838911088911,26.90460320929071,2.0,0.5569898851148851,0.5143996628371629,0.5619848901098902,-26.85602872560965,-25.473596129304223,-30.558382188620623,-26.955928825509748
1,3574,45162522.0,3.0,31.040462427745666,0.5821635012386458,1125.0,2.7283236994219653,0.4838976052848885,0.5392237819983484,0.5590421139554087,3.0,18.795017482517483,0.4479660964035964,1125.0,2.0839160839160837,0.41799606643356646,0.4109562312687313,0.44596809440559443,-13.419740483504933,-6.590153885132208,-12.82675507296172,-11.307401954981433
2,3809,53340685.0,3.0,31.040462427745666,0.4665565648224608,1125.0,2.878612716763006,0.34186622625928986,0.4640792733278282,0.4541701073492981,3.0,18.795017482517483,0.5350821053946053,1125.0,2.156530969030969,0.4968859265734266,0.5000702422577422,0.52997002997003,6.852554057214461,15.501970031413673,3.5990968929914007,7.579992262073187
3,4015,3.630099035712997e+17,3.0,31.040462427745666,0.34929810074318746,1109.3980181668044,5.328323699421966,0.2254335260115607,0.3230388109000826,0.31362510322047893,3.0,18.795017482517483,0.2886691433566434,1106.1248751248752,5.1816058941058944,0.23454826423576425,0.24597433816183814,0.26986607142857144,-6.062895738654409,0.9114738224203546,-7.706447273824441,-4.375903179190751
4,4039,2.7456243423971933e+17,3.0,34.98451692815855,0.6033531909873776,745.0,1.5,0.5778429869057449,0.6025274271558334,0.6033531909873776,3.0,19.361794455544455,0.5579147415084915,745.0,1.5,0.5451596394676752,0.534178433173969,0.5579147415084915,-4.5438449478886085,-3.268334743806976,-6.834899398186454,-4.5438449478886085
5,4043,12197831.0,3.0,31.040462427745666,0.24690338563170933,31.0,1.0,0.24690338563170933,0.24690338563170933,0.24690338563170933,3.0,18.795017482517483,0.27963442807192807,31.0,1.0,0.27963442807192807,0.28410651848151847,0.27963442807192807,3.2731042440218743,3.2731042440218743,3.7203132849809153,3.2731042440218743
6,4055,3.031532044114306e+17,3.0,31.040462427745666,0.7384393063583815,479.1418249380677,3.013212221304707,0.3313377374071016,0.43786127167630057,0.47729149463253506,3.0,18.795017482517483,0.4544166770729271,554.7551452453796,3.0425453452797204,0.29409457729770233,0.2978876592157842,0.34586897477522477,-28.40226292854544,-3.7243160109399267,-13.997361246051636,-13.142251985731031
7,4062,13962444.0,3.0,31.040462427745666,0.07762180016515276,1125.0,4.0,0.0,0.0,0.0,3.0,18.795017482517483,0.0,1125.0,4.0,0.0,0.0,0.0,-7.762180016515275,0.0,0.0,0.0
8,4064,7.969198031722109e+16,3.0,30.831117393131066,0.37884158502349924,708.4547280558842,4.2418362885237055,0.24692829522753934,0.3245173695651686,0.3400229161678695,3.0,18.846625325543204,0.20160900323558217,712.3259316696816,4.262181425078124,0.1262107014956118,0.15282664429026488,0.16877363304489462,-17.723258178791706,-12.071759373192753,-17.16907252749037,-17.124928312297488
9,4071,2.365253378717276e+17,3.0,31.040462427745666,0.483402146985962,504.4208092485549,4.84690338563171,0.37324525185796864,0.4498761354252684,0.4800990916597853,3.0,18.795017482517483,0.2610171078921079,516.1495004995005,4.821428571428571,0.25175761738261737,0.23152784715284716,0.2605940934065934,-22.23850390938541,-12.148763447535124,-21.83482882724212,-21.95049982531919
