,id,index_x,cleaning_fee_x,service_fee_x,total_price_x,index_y,cleaning_fee_y,service_fee_y,total_price_y
0,10121456.0,0.0,488.0,442.7174193548387,2648.7432258064514,0.0,488.0,374.7582547169811,2167.115566037736
1,10123207.0,0.0,,73.86879432624113,523.2765957446809,0.0,,61.19047619047619,434.6709956709957
2,10142320.0,0.0,100.0,68.23788546255507,381.58590308370043,0.0,100.0,65.31638418079096,362.1092278719397
3,10162954.0,0.0,250.0,171.42779291553134,962.9373297002725,0.0,250.0,202.80665024630542,1185.9458128078818
4,10192685.0,0.0,215.0,273.1548463356974,1719.822695035461,0.0,215.0,243.78981581798485,1510.996749729144
5,10248888.0,0.0,135.0,72.0,375.0,0.0,135.0,73.25,383.92857142857144
6,10250283.0,0.0,170.0,64.31205673758865,282.3404255319149,0.0,170.0,67.0,302.5
7,1027096.0,0.0,350.0,104.0,387.0,0.0,350.0,104.0,387.0
8,1028161.0,0.0,,24.075221238938052,170.84070796460176,0.0,,24.418079096045197,173.34086629001882
9,10304764.0,0.0,63.0,0.0,91.45640326975477,0.0,63.0,0.0,93.77216748768473
10,1032722.0,0.0,,22.05726872246696,156.9295154185022,0.0,,22.145009416195858,157.58757062146893
11,10338405.0,0.0,225.0,78.21806167400881,327.56607929515417,0.0,225.0,93.26691729323308,436.8233082706767
12,10354190.0,0.0,75.0,31.16740088105727,148.66960352422907,0.0,75.0,32.285714285714285,152.67857142857142
13,10360092.0,0.0,50.0,20.52863436123348,97.6431718061674,0.0,50.0,20.571428571428573,97.85714285714286
14,10400521.0,0.0,39.0,48.58719346049046,306.93732970027247,0.0,39.0,48.402709359605915,306.14285714285717
15,10403955.0,0.0,,23.0,166.0,0.0,,23.0,166.0
16,1049133.0,0.0,120.0,52.0,250.0,0.0,120.0,52.0,250.0
17,10495287.0,0.0,75.0,28.0,120.0,0.0,75.0,28.0,120.0
18,10513550.0,0.0,75.0,20.336971350613915,69.16234652114598,0.0,75.0,20.0,68.10974106041924
19,10571555.0,0.0,100.0,48.06356968215159,241.1919315403423,0.0,100.0,50.57142857142857,259.70982142857144
20,10572378.0,0.0,10.0,12.0,75.0,0.0,10.0,12.0,75.0
21,10573064.0,0.0,15.0,8.0,40.0,0.0,15.0,8.0,40.0
22,1059341.0,0.0,130.0,40.418502202643175,153.34801762114537,0.0,130.0,43.75,180.0
23,10719412.0,0.0,200.0,105.2863436123348,545.1233480176212,0.0,200.0,106.0,550.0
24,10837466.0,0.0,200.0,74.0,325.0,0.0,200.0,74.0,325.0
25,1087504.0,0.0,250.0,92.51321585903084,406.99339207048456,0.0,250.0,94.97932330827068,423.73496240601503
26,10876956.0,0.0,100.0,51.903073286052006,268.1442080378251,0.0,100.0,51.857142857142854,267.85714285714283
27,10907872.0,0.0,120.0,39.29359823399559,157.93598233995584,0.0,120.0,39.67857142857143,161.78571428571428
28,10936569.0,0.0,60.0,27.0,130.0,0.0,60.0,27.0,130.0
29,10956136.0,0.0,125.0,60.0,300.0,0.0,125.0,60.0,300.0
30,10981163.0,0.0,100.0,22.95814977973568,63.581497797356825,0.0,100.0,23.669172932330827,68.07894736842105
31,11008820.0,0.0,65.0,24.85022026431718,111.89427312775331,0.0,65.0,25.0,112.85714285714286
32,11009873.0,0.0,115.0,40.32378854625551,170.3920704845815,0.0,115.0,39.6578947368421,168.73496240601503
33,11047144.0,0.0,175.0,95.0,500.0,0.0,175.0,97.57142857142857,517.8571428571429
34,11066610.0,0.0,,42.0,295.0,0.0,,42.0,295.0
35,11096159.0,0.0,170.0,73.0,350.0,0.0,170.0,73.0,350.0
36,11106764.0,0.0,19.0,15.693460490463215,91.8174386920981,0.0,19.0,12.5935960591133,69.87192118226601
37,11164747.0,0.0,175.0,84.34801762114537,423.01762114537445,0.0,175.0,87.85714285714286,448.2142857142857
38,11189728.0,0.0,,8.0,60.0,0.0,,8.0,60.0
39,11211918.0,0.0,80.0,34.497797356828194,162.48898678414096,0.0,80.0,35.0,165.0
40,11240289.0,0.0,,9.050408719346049,64.42643051771117,0.0,,9.30295566502463,66.08004926108374
41,11252865.0,0.0,27.0,23.240088105726873,136.49118942731278,0.0,27.0,23.637218045112782,139.51315789473685
42,11325747.0,0.0,,35.74669603524229,254.12995594713655,0.0,,39.32142857142857,278.57142857142856
43,11357754.0,0.0,159.0,91.83920704845815,491.3348017621145,0.0,159.0,105.17857142857143,586.1428571428571
44,11384046.0,0.0,100.0,40.60706401766004,186.8896247240618,0.0,100.0,44.31015037593985,214.00563909774436
45,11414355.0,0.0,150.0,46.20044052863436,178.54405286343612,0.0,150.0,46.25,179.17857142857142
46,11472494.0,0.0,200.0,52.283378746594,171.04359673024524,0.0,200.0,54.63300492610838,187.83004926108376
47,11496237.0,0.0,200.0,75.79295154185021,334.2863436123348,0.0,200.0,76.35714285714286,338.2857142857143
48,11528925.0,0.0,25.0,15.05726872246696,81.6079295154185,0.0,25.0,15.142857142857142,82.14285714285714
49,11553485.0,0.0,125.0,66.51655629139073,345.42384105960264,0.0,125.0,68.48308270676692,359.4887218045113
50,11568310.0,0.0,150.0,180.76651982378854,1132.15859030837,0.0,150.0,182.28571428571428,1142.857142857143
51,11580920.0,0.0,110.0,66.33106267029973,361.8119891008174,0.0,110.0,61.857142857142854,330.7142857142857
52,11581484.0,0.0,175.0,71.0,325.0,0.0,175.0,71.0,325.0
53,11592035.0,0.0,125.0,113.0,675.0,0.0,125.0,113.0,675.0
54,11754797.0,0.0,75.0,32.47908745247148,154.3700887198986,0.0,75.0,34.52886836027714,167.61431870669745
