,Unnamed: 0.1,Unnamed: 0,index,id,name,price,displayPrice,monthlyPriceFactor,weeklyPriceFactor,avgRating,reviewsCount,isNewListing,isSuperhost,lat,lng,personCapacity,size,beds,baths,title,property_type,town,top_lat,right_long,bottom_lat,left_long,url,baths_type,Region,baths_no,beds_no,guest_no,zipcode,RegionName,City,Metro,CountyName,State,4/30/2022,num_beds,avg_home_value,occupancy_rate,median_cleaning_fee,median_service_fee,median_total_price,avg_30_yr_mort,monthly_maintenance,monthly_tax,median_ROI
10,10,16,16,52023515.0,NEW! Updated Myrtle Beach Condo < 2 Miles to Beach,88.0,$88,1.0,1.0,,2.0,0.0,0.0,33.73031,-78.87012,4.0,2 bedrooms,3 beds,2 baths,4 guests,entire_home,myrtle beach,33.744819753125,-78.85587103593751,33.7199366875,-78.90413128750001,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.744819753125&ne_lng=-78.85587103593751&sw_lat=33.7199366875&sw_lng=-78.90413128750001&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=60&section_offset=1,Private,Carolinas,2.0,3.0,4.0,29577,29577,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach,Horry County,SC,330187.0,3,330187.0,0.8650324441240087,190.0,60.0,338.0,1772.52,275.1558333333333,145.83259166666667,3.779785819604242
11,11,17,17,17509002.0,"you'll love it! Central location, cute and quiet",100.0,$100,0.8,0.9,4.76,215.0,0.0,0.0,33.731,-78.86897,4.0,2 bedrooms,2 beds,2 baths,4 guests,entire_home,myrtle beach,33.744819753125,-78.85587103593751,33.7199366875,-78.90413128750001,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.744819753125&ne_lng=-78.85587103593751&sw_lat=33.7199366875&sw_lng=-78.90413128750001&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=0&section_offset=1,Private,Carolinas,2.0,2.0,4.0,29577,29577,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach,Horry County,SC,209476.0,2,209476.0,0.6708002883922134,109.0,43.0,252.0,1124.51,174.56333333333336,92.51856666666669,3.334867907378605
12,12,9,9,17509002.0,"you'll love it! Central location, cute and quiet",100.0,$100,0.8,0.9,4.76,215.0,0.0,0.0,33.731,-78.86897,4.0,2 bedrooms,2 beds,2 baths,4 guests,entire_home,myrtle beach,33.744819753125,-78.85587103593751,33.7199366875,-78.90413128750001,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.744819753125&ne_lng=-78.85587103593751&sw_lat=33.7199366875&sw_lng=-78.90413128750001&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=20&section_offset=1,Private,Carolinas,2.0,2.0,4.0,29577,29577,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach,Horry County,SC,209476.0,2,209476.0,0.6708002883922134,109.0,43.0,252.0,1124.51,174.56333333333336,92.51856666666669,3.334867907378605
13,13,11,11,49405546.0,Upscale Oasis that's minutes from all attractions.,98.0,$98,1.0,0.9,,0.0,0.0,0.0,33.73962,-78.86093,4.0,1 bedroom,2 beds,1.5 baths,4 guests,entire_home,myrtle beach,33.744819753125,-78.85587103593751,33.7199366875,-78.90413128750001,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.744819753125&ne_lng=-78.85587103593751&sw_lat=33.7199366875&sw_lng=-78.90413128750001&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=20&section_offset=1,Private,Carolinas,1.5,2.0,4.0,29577,29577,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach,Horry County,SC,209476.0,2,209476.0,0.5260273972602739,95.0,30.0,223.0,1124.51,174.56333333333336,92.51856666666669,1.9354279641799537
14,14,13,13,49405546.0,Upscale Oasis that's minutes from all attractions.,98.0,$98,1.0,0.9,,0.0,0.0,0.0,33.73962,-78.86093,4.0,1 bedroom,2 beds,1.5 baths,4 guests,entire_home,myrtle beach,33.744819753125,-78.85587103593751,33.7199366875,-78.90413128750001,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.744819753125&ne_lng=-78.85587103593751&sw_lat=33.7199366875&sw_lng=-78.90413128750001&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=60&section_offset=1,Private,Carolinas,1.5,2.0,4.0,29577,29577,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach,Horry County,SC,209476.0,2,209476.0,0.5260273972602739,95.0,30.0,223.0,1124.51,174.56333333333336,92.51856666666669,1.9354279641799537
15,15,16,16,5.950174524454449e+17,"Serene condo with pool, full kitchen, balcony, washer/dryer, & WiFi",154.0,$154,1.0,1.0,,0.0,1.0,0.0,33.7309,-78.86789,4.0,1 bedroom,2 beds,1.5 baths,4 guests,entire_home,myrtle beach,33.744819753125,-78.85587103593751,33.7199366875,-78.90413128750001,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.744819753125&ne_lng=-78.85587103593751&sw_lat=33.7199366875&sw_lng=-78.90413128750001&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=40&section_offset=1,Private,Carolinas,1.5,2.0,4.0,29577,29577,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach,Horry County,SC,209476.0,2,209476.0,0.9666906993511176,112.0,41.0,307.0,1124.51,174.56333333333336,92.51856666666669,6.789877629351856
16,16,8,8,22415914.0,"Snowbird-friendly condo with 2 pools, hot tub, tennis - walk to beach",160.0,$160,1.0,1.0,4.31,14.0,0.0,0.0,33.76509,-78.78714,6.0,2 bedrooms,4 beds,2 baths,6 guests,entire_home,myrtle beach,33.769702818750005,-78.78348065859376,33.763482052343754,-78.79554572148439,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.769702818750005&ne_lng=-78.78348065859376&sw_lat=33.763482052343754&sw_lng=-78.79554572148439&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=20&section_offset=1,Private,Carolinas,2.0,4.0,6.0,29572,29572,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach,Horry County,SC,791408.0,4,791408.0,0.9202595529920692,128.0,42.0,330.0,4248.45,659.5066666666667,349.53853333333336,0.9367204658541108
17,17,2,2,45845041.0,Secluded Proximity *ask about our Top Golf promo*,203.0,$203,0.75,0.95,5.0,6.0,0.0,1.0,33.73442,-78.86478,6.0,3 bedrooms,4 beds,2.5 baths,6 guests,entire_home,myrtle beach,33.744819753125,-78.85587103593751,33.7199366875,-78.90413128750001,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.744819753125&ne_lng=-78.85587103593751&sw_lat=33.7199366875&sw_lng=-78.90413128750001&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=180&section_offset=1,Private,Carolinas,2.5,4.0,6.0,29577,29577,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach,Horry County,SC,485529.0,4,485529.0,0.906705118961788,250.0,85.0,538.0,2606.42,404.6075,214.441975,4.45515466011254
18,18,4,4,45845041.0,Secluded Proximity *ask about our Top Golf promo*,203.0,$203,0.75,0.95,5.0,6.0,0.0,1.0,33.73442,-78.86478,6.0,3 bedrooms,4 beds,2.5 baths,6 guests,entire_home,myrtle beach,33.744819753125,-78.85587103593751,33.7199366875,-78.90413128750001,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.744819753125&ne_lng=-78.85587103593751&sw_lat=33.7199366875&sw_lng=-78.90413128750001&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=200&section_offset=1,Private,Carolinas,2.5,4.0,6.0,29577,29577,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach,Horry County,SC,485529.0,4,485529.0,0.906705118961788,250.0,85.0,538.0,2606.42,404.6075,214.441975,4.45515466011254
19,19,12,12,5.753548003822624e+17,Luxury Master Suite On Golf Course W/ Free Parking,105.0,$105,0.7,0.75,,2.0,1.0,0.0,33.7316,-78.8834,2.0,1 bedroom,1 bed,1 private bath,2 guests,private_room,myrtle beach,33.744819753125,-78.85587103593751,33.7199366875,-78.90413128750001,https://www.airbnb.com/s/homes?refinement_paths%5B%5D=%2Fhomes%2Fsection%2FNEARBY_LISTINGS%3A2400&room_types%5B%5D=Entire%20home%2Fapt&room_types%5B%5D=Private%20room&room_types%5B%5D=Shared%20room&ne_lat=33.744819753125&ne_lng=-78.85587103593751&sw_lat=33.7199366875&sw_lng=-78.90413128750001&zoom=12&search_by_map=true&search_type=user_map_move&tab_id=home_tab&date_picker_type=calendar&items_offset=0&section_offset=1,Private,Carolinas,1.0,1.0,2.0,29577,29577,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach,Horry County,SC,145598.0,1,145598.0,0.916510454217736,125.0,45.0,275.0,781.6,121.33166666666666,64.30578333333334,8.570868244850868
