RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,4/30/2022
69270,559,27265,Zip,NC,NC,High Point,Greensboro-High Point,Guilford County,116268
96647,560,92105,Zip,CA,CA,San Diego,San Diego-Carlsbad,San Diego County,385129
72599,561,33433,Zip,FL,FL,Boca Raton,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,206453
94562,562,84404,Zip,UT,UT,Ogden,Ogden-Clearfield,Weber County,316479
78467,564,47150,Zip,IN,IN,New Albany,Louisville/Jefferson County,Floyd County,118278
96664,566,92122,Zip,CA,CA,San Diego,San Diego-Carlsbad,San Diego County,510874
91883,567,77373,Zip,TX,TX,Spring,Houston-The Woodlands-Sugar Land,Harris County,138882
87563,568,67401,Zip,KS,KS,Salina,Salina,Saline County,73624
67723,569,23455,Zip,VA,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News,Virginia Beach City,271565
66708,570,20910,Zip,MD,MD,Silver Spring,Washington-Arlington-Alexandria,Montgomery County,287387
75422,572,39759,Zip,MS,MS,Starkville,Starkville,Oktibbeha County,138800
94847,573,85255,Zip,AZ,AZ,Scottsdale,Phoenix-Mesa-Scottsdale,Maricopa County,359233
61175,573,8759,Zip,NJ,NJ,Manchester Township,New York-Newark-Jersey City,Ocean County,126383
58649,575,2135,Zip,MA,MA,Boston,Boston-Cambridge-Newton,Suffolk County,422771
98341,576,95648,Zip,CA,CA,Lincoln,Sacramento--Roseville--Arden-Arcade,Placer County,516550
65815,577,19148,Zip,PA,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,260637
70576,579,29588,Zip,SC,SC,Socastee,Myrtle Beach-Conway-North Myrtle Beach,Horry County,100657
72353,580,33015,Zip,FL,FL,Country Club,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,188767
62066,581,11354,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,330766
96918,584,92563,Zip,CA,CA,Murrieta,Riverside-San Bernardino-Ontario,Riverside County,360881
91719,585,77070,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,167162
69337,586,27407,Zip,NC,NC,Greensboro,Greensboro-High Point,Guilford County,99654
81427,587,53711,Zip,WI,WI,Madison,Madison,Dane County,289778
90757,588,75204,Zip,TX,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,263147
60642,589,7305,Zip,NJ,NJ,Jersey City,New York-Newark-Jersey City,Hudson County,301251
60560,590,7047,Zip,NJ,NJ,North Bergen Township,New York-Newark-Jersey City,Hudson County,261501
96017,591,90036,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,679752
97567,592,94112,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1200598
72622,593,33463,Zip,FL,FL,Greenacres,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,124911
91280,595,76137,Zip,TX,TX,Fort Worth,Dallas-Fort Worth-Arlington,Tarrant County,172710
95843,596,89147,Zip,NV,NV,Las Vegas,Las Vegas-Henderson-Paradise,Clark County,195974
92668,597,78759,Zip,TX,TX,Austin,Austin-Round Rock,Travis County,292800
77463,598,45140,Zip,OH,OH,Loveland,Cincinnati,Clermont County,154465
69670,599,28025,Zip,NC,NC,Concord,Charlotte-Concord-Gastonia,Cabarrus County,172465
97549,600,94087,Zip,CA,CA,Sunnyvale,San Jose-Sunnyvale-Santa Clara,Santa Clara County,686843
69443,601,27603,Zip,NC,NC,Raleigh,Raleigh,Wake County,381323
70854,602,30075,Zip,GA,GA,Roswell,Atlanta-Sandy Springs-Roswell,Fulton County,306956
58663,603,2151,Zip,MA,MA,Revere,Boston-Cambridge-Newton,Suffolk County,343125
99093,604,97124,Zip,OR,OR,Hillsboro,Portland-Vancouver-Hillsboro,Washington County,309100
61628,605,10014,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1031810
97993,606,95125,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,811305
96192,608,90640,Zip,CA,CA,Montebello,Los Angeles-Long Beach-Anaheim,Los Angeles County,474501
72602,610,33436,Zip,FL,FL,Boynton Beach,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,164163
99569,611,98109,Zip,WA,WA,Seattle,Seattle-Tacoma-Bellevue,King County,509229
58291,612,1201,Zip,MA,MA,Pittsfield,Pittsfield,Berkshire County,182627
85990,614,63301,Zip,MO,MO,Saint Charles,St. Louis,Saint Charles County,157349
66703,616,20904,Zip,MD,MD,Silver Spring,Washington-Arlington-Alexandria,Montgomery County,186364
99519,619,98034,Zip,WA,WA,Kirkland,Seattle-Tacoma-Bellevue,King County,368837
73162,622,34668,Zip,FL,FL,Port Richey,Tampa-St. Petersburg-Clearwater,Pasco County,81718
98946,625,96815,Zip,HI,HI,Honolulu,Urban Honolulu,Honolulu County,479636
65798,626,19131,Zip,PA,PA,Philadelphia,Philadelphia-Camden-Wilmington,Philadelphia County,122931
60322,627,6457,Zip,CT,CT,Middletown,Hartford-West Hartford-East Hartford,Middlesex County,129700
58902,628,2780,Zip,MA,MA,Taunton,Providence-Warwick,Bristol County,230757
66035,630,19711,Zip,DE,DE,Newark,Philadelphia-Camden-Wilmington,New Castle County,210418
78449,631,47130,Zip,IN,IN,Jeffersonville,Louisville/Jefferson County,Clark County,159113
93137,633,79928,Zip,TX,TX,Horizon City,El Paso,El Paso County,123951
61093,634,8527,Zip,NJ,NJ,Jackson Township,New York-Newark-Jersey City,Ocean County,201167
67181,635,22192,Zip,VA,VA,Woodbridge,Washington-Arlington-Alexandria,Prince William County,195312
72444,636,33141,Zip,FL,FL,Miami Beach,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,230811
67186,637,22201,Zip,VA,VA,Arlington,Washington-Arlington-Alexandria,Arlington County,405480
70847,638,30067,Zip,GA,GA,Marietta,Atlanta-Sandy Springs-Roswell,Cobb County,182720
70891,638,30114,Zip,GA,GA,Canton,Atlanta-Sandy Springs-Roswell,Cherokee County,267615
83942,640,59102,Zip,MT,MT,Billings,Billings,Yellowstone County,177218
