RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,4/30/2022
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,3401557
84654,1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,1080346
61637,2,10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,5305555
91982,3,77494,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,483919
84616,4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,1317928
91940,5,77449,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,295391
91733,7,77084,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,306634
93144,8,79936,Zip,TX,TX,El Paso,El Paso,El Paso County,230169
84640,9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,974769
62037,10,11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,957640
61807,11,10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,594267
92593,12,78660,Zip,TX,TX,Pflugerville,Austin-Round Rock,Travis County,561047
97564,13,94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,4734418
61630,15,10016,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,4727530
74101,16,37013,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,429255
71831,17,32162,Zip,FL,FL,The Villages,The Villages,Sumter County,1028482
84646,18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,771707
62012,19,11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,3771267
62045,20,11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1029889
62087,21,11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,1573601
96107,22,90250,Zip,CA,CA,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles County,965406
92271,23,78130,Zip,TX,TX,New Braunfels,San Antonio-New Braunfels,Comal County,385894
74242,24,37211,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,545031
92036,27,77573,Zip,TX,TX,League City,Houston-The Woodlands-Sugar Land,Galveston County,407989
84620,28,60618,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,758708
92045,29,77584,Zip,TX,TX,Pearland,Houston-The Woodlands-Sugar Land,Brazoria County,389742
61625,30,10011,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,5998910
66126,31,20002,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,975831
61703,32,10128,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,4112252
69816,33,28269,Zip,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,421139
92551,34,78613,Zip,TX,TX,Cedar Park,Austin-Round Rock,Williamson County,700091
91926,35,77433,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,438342
92515,36,78572,Zip,TX,TX,Mission,McAllen-Edinburg-Mission,Hidalgo County,292905
71067,37,30349,Zip,GA,GA,Riverdale,Atlanta-Sandy Springs-Roswell,Clayton County,316635
93123,38,79912,Zip,TX,TX,El Paso,El Paso,El Paso County,352879
90654,39,75052,Zip,TX,TX,Grand Prairie,Dallas-Fort Worth-Arlington,Dallas County,387525
97771,40,94565,Zip,CA,CA,Pittsburg,San Francisco-Oakland-Hayward,Contra Costa County,822443
74126,41,37042,Zip,TN,TN,Clarksville,Clarksville,Montgomery County,325530
89925,43,73099,Zip,OK,OK,Yukon,Oklahoma City,Canadian County,287086
96027,44,90046,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,3251676
66133,45,20009,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,1575524
91922,46,77429,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,394183
